Year,PUMA,Borough,Neighborhoods,CD,Join,NYC_Poverty_Rate,Median_Income,Perc_White,Perc_Black,Perc_Asian,Perc_Other,Perc_Hispanic,GoalID,Goal,GoalName,GoalFullName,TotalOutcome,GoalRank,IndexScore,ScoreRank,Ind1,Ind1Outcome,Ind1Rank,Ind1Definition,Ind2,Ind2Outcome,Ind2Rank,Ind2Definition,Ind3,Ind3Outcome,Ind3Rank,Ind3Definition,Ind4,Ind4Outcome,Ind4Rank,Ind4Definition,Ind5,Ind5Outcome,Ind5Rank,Ind5Definition,Ind6,Ind6Outcome,Ind6Rank,Ind6Definition,Ind7,Ind7Outcome,Ind7Rank,Ind7Definition,Ind8,Ind8Outcome,Ind8Rank,Ind8Definition
2018,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",BX Community District 8,3701,0.152,30437,0.324,0.124,0.052,0.023,0.477,BuildAssets,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,-0.466778212,29,5.184720365,Middle,Homeownership Opportunity,0.316,27,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.658,31,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,23.67726072,45,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,3.59:1,12,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,24.13259266,31,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.235094193,32,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,0.071776769,26,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
2018,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",BX Community District 8,3701,0.152,30437,0.324,0.124,0.052,0.023,0.477,FinancialServices,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",-3.560422148,40,1.919035719,Bottom,Bank / Credit Union-To-Nonbank Ratio,0.125694444444444,24,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,1.639194973,27,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0,28,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 6.23%; Black or African American (non-Hispanic or Latino) 5.99%; Hispanic or Latino 17.96%; Other/No Information 23.82%; White (non-Hispanic or Latino) 46.01%,34,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.889,29,Percentage of residents with a bank or credit union account,Affordable Products,0.388888889,38,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.2058,23,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2018,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",BX Community District 8,3701,0.152,30437,0.324,0.124,0.052,0.023,0.477,FinancialShocks,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,7.911696589,10,7.4913156,Top,Ability To Borrow At Low Cost,0.64,21,Percentage of residents with a prime or better credit score,Housing Stability,90.8%,3,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.907,20,Percentage of residents with health insurance,Rent Burden,0.535,22,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.285,18,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,37,27,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,0,40,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
2018,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",BX Community District 8,3701,0.152,30437,0.324,0.124,0.052,0.023,0.477,Goods&Services,Goods & Services,Goal 2: Goods & Services,"Goal 2: Access to Affordable, High-Quality Goods & Services",0.334718217,19,4.585010881,Middle,Access To Groceries,206.27,14,Supermarket square footage per 100 residents,Child Care Capacity,0.70504,15,Percentage of 3- and 4-year-olds enrolled in early education programs,Health Care Access,0.12,38,Percentage of adults who did not receive needed medical care in past year ,Cost Of Transportation ($),671.6008333,42,Average (mean) amount of money spent monthly on transportation per household,Cost Of Transportation (%),0.137339343228643,38,Percentage of median household income spent on transportation,Journey To Work Time,44.5,41,Average (mean) travel time to work in minutes,,,,,,,,
2018,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",BX Community District 8,3701,0.152,30437,0.324,0.124,0.052,0.023,0.477,Jobs&Income,Jobs & Income,Goal 3: Jobs & Income,Goal 3: Access to Quality Jobs & Income Supports,1.784643654,20,3.970855777,Middle,Job Training And Placement Support,0,37,"Number of job training and placement programs per 10,000 unemployed residents",Jobs With Health Insurance,0.521978874,17,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Labor Force Participation,0.634,29,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Job Quality,37514.89063,19,Median income of neighborhood residents with 5 or more years housing tenure,Educational Attainment,0.776,19,Percentage of high school students who graduate on time (within 4 years),Public Benefits Utilization,0.724,28,Percentage of people eligible for SNAP receiving the benefit,Tax Credit Utilization,0.966,9,Percentage of eligible Tax Units claiming EITC,Adults With High School Diploma,0.845032397,21,Percentage of adults with a high school degree or equivalent
2018,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",BX Community District 8,3701,0.152,30437,0.324,0.124,0.052,0.023,0.477,OverallIndex,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,6.003858099,18,3.960089745,Top,"Goal 1: Access to Affordable, High-Quality Financial Services",,40,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,19,,Goal 3: Access to Quality Jobs & Income Supports,,20,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,10,,Goal 5: Opportunities to Build Assets & Plan for the Future,,29,,,,,,,,,,,,,
2018,3701,Bronx,"Riverdale, Fieldston & Kingsbridge",BX Community District 8,3701,0.152,30437,0.324,0.124,0.052,0.023,0.477,MajorityRaceEthnicity,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,,No Majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3702,Bronx,"Wakefield, Williamsbridge & Woodlawn",BX Community District 12,3702,0.232,26136,0.069,0.655,0.026,0.023,0.226,BuildAssets,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,-2.147704293,34,4.637372866,Middle,Homeownership Opportunity,0.369,17,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.689,18,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,26.32654616,42,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,2.06:1,42,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,12.74759077,50,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.266657601,24,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,0.006117699,41,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
2018,3702,Bronx,"Wakefield, Williamsbridge & Woodlawn",BX Community District 12,3702,0.232,26136,0.069,0.655,0.026,0.023,0.226,FinancialServices,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",-4.208329572,42,1.706672153,Bottom,Bank / Credit Union-To-Nonbank Ratio,0.8:1,40,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,0.623523462,52,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0,28,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 6.47%; Black or African American (non-Hispanic or Latino) 46.27%; Hispanic or Latino 18.91%; Other/No Information 16.67%; White (non-Hispanic or Latino) 11.69%,10,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.843,39,Percentage of residents with a bank or credit union account,Affordable Products,0.444444444,31,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.1638,44,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2018,3702,Bronx,"Wakefield, Williamsbridge & Woodlawn",BX Community District 12,3702,0.232,26136,0.069,0.655,0.026,0.023,0.226,FinancialShocks,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,-9.155014352,49,1.049708111,Bottom,Ability To Borrow At Low Cost,0.42,44,Percentage of residents with a prime or better credit score,Housing Stability,52.0%,31,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.889,30,Percentage of residents with health insurance,Rent Burden,0.598,46,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.342,41,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,95.9,53,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,0,40,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
